recipe_title,category,subcategory,ingredients,directions,num_ingredients,num_steps,normalized_recipe_name
Amazing Mexican Quinoa Salad,Mexican,Mexican Salads,"[""2 cups cooked quinoa"", ""1 (15 ounce) can pinto beans, rinsed and drained"", ""1 (15 ounce) can kidney beans, rinsed and drained"", ""1 (14 ounce) can corn"", ""1 red onion, chopped"", ""1 cup cooked brown rice"", ""1 red bell pepper, chopped"", ""\u00bc cup chopped fresh cilantro""]","[""Mix quinoa, pinto beans, kidney beans, corn, red onion, brown rice, red bell pepper, and cilantro together in a glass or plastic container with a lid."", ""Whisk olive oil, vinegar, chili powder, garlic, salt, black pepper, and cayenne pepper together in a bowl; pour over quinoa mixture and toss to coat. Cover bowl with a lid and refrigerate until flavors blend, at least 2 hours."", ""Stir salad again before serving.""]",8,3,amazing mexican quinoa salad
Ambrosia Fruit Salad,Fruit Salads,Dessert Salads,"[""3 cups miniature marshmallows"", ""2 \u00bd cups shredded coconut"", ""1 (11 ounce) can mandarin oranges, drained"", ""1 (10 ounce) jar maraschino cherries, drained (Optional)"", ""1 (8 ounce) container frozen whipped topping, thawed"", ""1 (8 ounce) can pineapple chunks, drained"", ""1 (8 ounce) can fruit cocktail, drained"", ""\u00bd cup chopped walnuts"", ""1 teaspoon ground nutmeg (Optional)"", ""1 teaspoon ground cinnamon (Optional)""]","[""Gather all ingredients."", ""Place marshmallows, coconut, oranges, cherries, whipped topping, pineapple, fruit cocktail, nuts, nutmeg, and cinnamon into a large serving bowl; mix until well combined."", ""Place in the refrigerator to chill for 30 to 45 minutes before serving."", ""Enjoy!""]",10,4,ambrosia fruit salad
Ambrosia Salad with Fruit Cocktail,Fruit Salads,Dessert Salads,"[""2 (15.25 ounce) cans fruit cocktail"", ""1 (16 ounce) can sliced peaches in juice (Optional)"", ""1 (16 ounce) can pineapple chunks in juice"", ""1 (12 ounce) can mandarin oranges in juice"", ""1 (8 ounce) package cream cheese, softened"", ""2 tablespoons milk, or as needed"", ""1 (12 ounce) container frozen whipped topping (such as Cool Whip\u00ae), thawed"", ""1 cup sweetened flaked coconut (Optional)""]","[""Empty fruit cocktail, peaches, pineapple, and oranges out into a strainer set over a large bowl to drain."", ""Meanwhile, beat cream cheese in a bowl, adding milk until mixture is smooth and creamy. Mix in 3/4 of the whipped topping and 1/4 cup of the drained juice; blend well."", ""Dice peaches and fold them into the creamy mixture. Add all the drained fruits and coconut, reserving 5 or 6 mandarins, and stir to coat. Smooth over the top and frost with remaining whipped topping. Decorate top with reserved mandarins. Refrigerate until flavors combine.""]",8,3,ambrosia salad with fruit cocktail
Ambrosia Salad with Jell-O,Fruit Salads,Dessert Salads,"[""1 (12 ounce) container frozen whipped topping, thawed"", ""1 (6 ounce) package strawberry-flavored gelatin (such as Jell-O)"", ""1 (8 ounce) can crushed pineapple with juice"", ""1 cup chopped walnuts (Optional)"", ""1 (10 ounce) package miniature marshmallows""]","[""Gather the ingredients."", ""Place whipped topping in a large bowl and stir until thawed and smooth."", ""Add gelatin and mix well."", ""Add pineapple with juice, walnuts, and marshmallows."", ""Mix together and transfer into a mold of your choice. Refrigerate for 8 hours to overnight before unmolding.""]",5,5,ambrosia salad with jell o
American Potato Salad,July 4Th,4Th Of July Salads,"[""5 pounds red potatoes"", ""6 eggs"", ""2 cups mayonnaise"", ""1 onion, diced"", ""2 green onions, thinly sliced"", ""1 small green bell pepper, seeded and diced"", ""3 stalks celery, thinly sliced"", ""2 teaspoons salt"", ""1 teaspoon ground black pepper""]","[""Gather the ingredients."", ""Bring a large pot of water to a boil. Add potatoes, and cook for 15 to 20 minutes, or until tender but still firm. Drain, cool and cut into cubes."", ""Place eggs in a saucepan and cover with cold water. Bring water to a boil and immediately remove from heat. Cover and let eggs stand in hot water for 10 to 12 minutes. Remove from hot water, cool, peel and chop."", ""In a large bowl, combine chopped potatoes and eggs. Mix together mayonnaise, chopped onion, green onion, green pepper, and celery. Season with salt and pepper, then mix well."", ""Cover, and refrigerate for several hours or overnight.""]",9,5,american potato salad
American-Italian Pasta Salad,Italian,Italian Salads,"[""1 (16 ounce) package fusilli pasta"", ""1 cup mayonnaise"", ""1 cup sour cream"", ""2 tablespoons milk"", ""1 (.7 ounce) package dry Italian-style salad dressing mix"", ""1 cup frozen petite peas, thawed"", ""1 cup cubed Genoa salami"", ""\u00be cup chopped green onions"", ""\u00be cup chopped celery"", ""2 (2 ounce) cans sliced black olives, drained"", ""\u00bd cup chopped fresh parsley""]","[""Bring a large pot of lightly salted water to a boil. Cook fusilli in the boiling water, stirring occasionally, until tender yet firm to the bite, 10 to 13 minutes. Drain, rinse under cold water, and drain again. Transfer to a large bowl."", ""Meanwhile, whisk mayonnaise, sour cream, milk, and Italian dressing mix together in a medium bowl until smooth. Refrigerate \u00bd cup dressing until ready to serve; set aside remaining dressing."", ""Add thawed peas, salami, green onions, celery, olives, and parsley to pasta; stir in remaining dressing until well combined. Cover and refrigerate 8 hours to overnight."", ""Stir pasta salad; add reserved \u00bd cup dressing, a little at a time, if seems dry.""]",11,4,american italian pasta salad
Amish Macaroni Salad,Pasta Salads,Pasta Salads,"[""2 cups uncooked elbow macaroni"", ""3 large hard-cooked eggs, chopped"", ""1 small onion, chopped"", ""3 stalks celery, chopped"", ""1 small red bell pepper, seeded and chopped"", ""2 tablespoons dill pickle relish"", ""2 cups creamy salad dressing (e.g. Miracle Whip)"", ""\u00be cup white sugar"", ""3 tablespoons prepared yellow mustard"", ""2 \u00bc teaspoons white vinegar"", ""\u00be teaspoon celery seed"", ""\u00bc teaspoon salt""]","[""Bring a large pot of lightly salted water to a boil. Cook elbow macaroni in boiling water, stirring occasionally, until tender yet firm to the bite, about 8 minutes. Drain and set aside to cool."", ""Combine eggs, onion, celery, bell pepper, and relish in a large bowl. Stir together salad dressing, sugar, mustard, vinegar, celery seed, and salt in a small bowl. Pour over eggs and vegetables. Top with cooled macaroni; stir until well combined. Cover and chill in the refrigerator for at least 1 hour before serving.""]",12,2,amish macaroni salad
Amish Potato Salad,Picnic Recipes,Potato Salad,"[""6 medium white potatoes with skin"", ""1 small onion, finely chopped"", ""1 cup chopped celery"", ""1 cup chopped carrots"", ""1 teaspoon celery seed"", ""4 hard-cooked eggs, peeled and chopped"", ""2 eggs, beaten"", ""\u00be cup white sugar"", ""1 teaspoon cornstarch"", ""\u00bd teaspoon salt"", ""\u2153 cup apple cider vinegar"", ""\u00bd cup milk"", ""1 teaspoon prepared yellow mustard"", ""3 tablespoons butter"", ""1 cup mayonnaise or salad dressing""]","[""Place the potatoes into a large pot, and fill with enough water to cover. Bring to a boil, and cook for about 20 minutes, or until easily pierced with a fork. Drain, and set aside to cool."", ""While the potatoes are cooking, whisk together 2 eggs, sugar, cornstarch, and salt in a saucepan. Stir in the vinegar, milk, and mustard. Cook over medium heat, stirring frequently, until thickened, about 10 minutes. Remove from heat, and stir in the butter. Refrigerate until cool, then stir in the mayonnaise."", ""Peel the potatoes if desired, and cut into medium dice. Place in a large bowl; mix in onion, celery, carrots, celery seed, and hard-cooked eggs. Gently fold in the dressing. Refrigerate until serving.""]",15,3,amish potato salad
Amy's Barbecue Chicken Salad,Chicken Salads,Chicken Salads,"[""2 skinless, boneless chicken breast halves"", ""1 head red leaf lettuce, rinsed and torn"", ""1 head green leaf lettuce, rinsed and torn"", ""1 fresh tomato, chopped"", ""1 bunch cilantro, chopped"", ""1 (15.25 ounce) can whole kernel corn, drained"", ""1 (15 ounce) can black beans, drained"", ""1 (2.8 ounce) can French fried onions"", ""\u00bd cup ranch dressing"", ""\u00bd cup barbecue sauce""]","[""Preheat the grill for high heat and lightly oil the grate."", ""Cook chicken on the preheated grill until the juices run clear, about 6 minutes per side. An instant-read thermometer inserted into the center should read at least 165 degrees F (74 degrees C). Remove from heat, cool, and slice."", ""In a large bowl, mix lettuces, tomato, cilantro, corn, and black beans. Top with grilled chicken slices and French fried onions."", ""In a small bowl, mix ranch dressing and barbecue sauce together. Serve on the side as a dipping sauce or toss with the salad to coat.""]",10,4,amy s barbecue chicken salad
Andrea's Broccoli Slaw,Broccoli Salads,Broccoli Salads,"[""\u2153 cup light mayonnaise"", ""\u00bc cup crumbled blue cheese, or more to taste"", ""2 tablespoons white sugar, or more to taste"", ""1 tablespoon olive oil"", ""1 tablespoon stone-ground mustard"", ""2 \u00bd teaspoons red wine vinegar"", ""\u00bd teaspoon red pepper flakes"", ""\u00bd teaspoon onion powder"", ""\u00bd teaspoon celery salt"", ""\u00bd head cabbage, shredded"", ""2 carrots, grated"", ""1 cup chopped broccoli florets"", ""\u00bd cup raisins""]","[""Mix mayonnaise, blue cheese, sugar, olive oil, mustard, vinegar, red pepper flakes, onion powder, and celery salt together in a large bowl. Add cabbage, carrots, broccoli, and raisins; stir to coat. Chill in refrigerator at least 2 hours before serving.""]",13,1,andrea s broccoli slaw
