recipe_title,category,subcategory,ingredients,directions,num_ingredients,num_steps,normalized_recipe_name
German Shrimp Pasta Salad,Pasta Salads,Seafood Pasta Salad,"[""1 (16 ounce) package elbow macaroni"", ""1 tablespoon salt"", ""3 tablespoons white vinegar"", ""2 tablespoons white sugar"", ""1 teaspoon dried dill weed"", ""1 teaspoon dried parsley"", ""\u00bd cup olive oil mayonnaise (such as Hellman's\u00ae), or more as needed"", ""\u00bd lime, juiced"", ""1 teaspoon salt, or to taste"", ""2 stalks celery, diced"", ""\u00bd onion, diced"", ""freshly ground black pepper to taste"", ""2 (6 ounce) cans small shrimp, drained""]","[""Bring 4 quarts of water to a boil. Add 1 tablespoon salt. Cook elbow macaroni in the boiling water, stirring occasionally, until tender yet firm to the bite, about 8 minutes."", ""Combine vinegar, sugar, dill, and parsley in a large bowl. Muddle the herbs with flat spatula and mix until sugar is dissolved. Whisk in mayonnaise, lime juice, and 1 teaspoon salt until creamy. Stir in celery and onion. Cover and refrigerate."", ""Rinse pasta under cold water. Fold pasta into the dressing until evenly coated. Cover and refrigerate, folding salad occasionally so that dressing is evenly absorbed, 8 hours to overnight. Add more mayonnaise if pasta looks dry."", ""Gently fold in shrimp in the last fold before serving.""]",13,4,german shrimp pasta salad
German Tater Tot Potato Salad,Chef John,Chef John'S Salads,"[""canola oil cooking spray"", ""1 (28 ounce) package frozen bite-sized potato nuggets (such as Tater Tots\u00ae)"", ""1 (8 ounce) package bacon, cut into 1/2-inch pieces"", ""1 cup diced yellow onion"", ""2 tablespoons white sugar"", ""1 teaspoon freshly ground black pepper"", ""1 teaspoon kosher salt, or more to taste"", ""\u2153 cup apple cider vinegar"", ""1 tablespoon chopped fresh parsley"", ""1 tablespoon chopped fresh chives""]","[""Preheat the oven to 425 degrees F (220 degrees C). Cover a sheet pan with foil, and spray generously with cooking spray."", ""Spread frozen potato nuggets evenly on the prepared pan, then spray the tops with cooking spray."", ""Bake in the center of the preheated oven until well browned and extra crispy, 40 to 45 minutes. Please note, this will be about 10 to 15 minutes longer than the package directions."", ""Meanwhile, prepare dressing: Place bacon in a cold, dry pan. Turn heat to medium-high and cook until fat has rendered, and bacon is foamy and almost crisp. Reduce heat to medium and toss in diced onion. Cook, stirring occasionally, until onion starts to soften and turn translucent, about 3 minutes."", ""Stir in sugar, pepper, and 1 teaspoon salt; cook until sugar just starts to caramelize onto the bottom of the pan, about 1 minute. Deglaze the pan by stirring in apple cider vinegar and scraping the bottom of the pan to release any brown bits. Turn off the heat."", ""Remove Tater Tots from the oven and let cool for 5 minutes before transferring to a large mixing bowl. Pour warm bacon dressing over top and toss until thoroughly and evenly coated. Mix in parsley and chives. Taste and adjust for salt before serving.""]",10,6,german tater tot potato salad
Ginger-Cabbage Salad,Paleo,Paleo Salads,"[""\u00be cup pickled ginger"", ""4 cups shredded cabbage, green or red"", ""1 cup shredded carrots"", ""\u00bd cup peanuts, crushed"", ""\u00bc cup mirin (sweetened Asian wine)"", ""\u00bc cup rice vinegar"", ""4 scallions, sliced""]","[""Combine all.""]",7,1,ginger cabbage salad
Ginny's Cauliflower and Pea Salad,Healthy Recipes,Sugar-Free Recipes,"[""1 large head cauliflower, broken into small florets"", ""1 (10 ounce) package frozen peas, thawed"", ""1 small onion, chopped"", ""2 stalks celery, chopped"", ""1 cup shredded reduced-fat Cheddar cheese"", ""\u00bd cup grated Parmesan cheese"", ""\u00bc cup bacon bits"", ""1 cup light mayonnaise"", ""1 (8 ounce) container reduced fat sour cream"", ""2 tablespoons granular no-calorie sucralose sweetener (such as Splenda\u00ae)"", ""2 tablespoons distilled white vinegar"", ""1 tablespoon prepared mustard"", ""1 teaspoon seasoned salt (such as LAWRY'S\u00ae)""]","[""Toss together cauliflower, peas, onion, and celery in a large bowl. Mix in Cheddar, Parmesan, and bacon bits."", ""Mix mayonnaise, sour cream, sweetener, vinegar, mustard, and seasoned salt in a separate bowl. Pour over vegetables and mix well.""]",13,2,ginny s cauliflower and pea salad
Gluten-Free Chicken Pasta Salad,Chicken Salads,Chicken Pasta Salad,"[""1 (12 ounce) package gluten-free elbow pasta"", ""1 cup mayonnaise (such as Best Foods\u00ae)"", ""2 tablespoons chipotle ranch dressing (such as Wish-Bone\u00ae)"", ""2 (10 ounce) cans chicken breast, drained"", ""\u00bd cup chopped green onions"", ""1 (4 ounce) can sliced mushrooms, drained"", ""1 (3.8 ounce) can sliced black olives, drained"", ""1 tablespoon celery seed"", ""1 tablespoon dill"", ""1 teaspoon onion powder"", ""1 teaspoon ground thyme"", ""1 pint grape tomatoes""]","[""Bring a large pot of lightly salted water to a boil. Add elbow pasta to the boiling water and cook, stirring for the first 2 minutes and occasionally thereafter, until tender yet firm to the bite, about 8 minutes total or according to package directions. Drain and rinse with cold water to stop cooking. Transfer to a large bowl."", ""Spread 1/4 cup mayonnaise on top of the cooked pasta and add chipotle ranch dressing. Mix throughout to keep pasta from sticking. Add chicken breast meat, green onions, mushrooms, olives, celery seed, dill, onion powder, and thyme. Gently stir together with the pasta. Add remaining mayonnaise to desired consistency. Add grape tomatoes and mix gently, being careful not to break any. Refrigerate until chilled, about 30 minutes.""]",12,2,gluten free chicken pasta salad
Gorgonzola and Prosciutto Tortellini Salad,Pasta Salads,Italian Pasta Salad,"[""2 ounces prosciutto"", ""1 pound frozen tortellini"", ""\u00bd cup extra-virgin olive oil"", ""\u00bc cup white wine vinegar"", ""2 large cloves garlic, minced"", ""1 \u00bd teaspoons dried basil"", ""1 teaspoon dried oregano"", ""\u00bc teaspoon salt"", ""\u00bc teaspoon ground black pepper"", ""\u00bd cup finely crumbled Gorgonzola cheese"", ""\u00bc cup minced green bell pepper"", ""\u00bc cup minced red bell pepper"", ""\u00bc cup minced red onion""]","[""Slice prosciutto into strips that are 1 inch long and 1/4 inch wide."", ""Fill a large pot with lightly salted water and bring to a rolling boil; stir in tortellini and return to a boil. Cook uncovered, stirring occasionally, until the tortellini float to the top and the filling is hot, about 3 minutes. Drain and cool under cold running water to stop the cooking process."", ""Mix oil, vinegar, garlic, basil, oregano, salt, and pepper together in a jar. Put the lid on the jar and shake into an emulsion."", ""Place tortellini, prosciutto, Gorgonzola cheese, bell peppers, and onion in a large bowl. Pour the vinaigrette over the top and toss lightly with 2 large spoons. Enjoy immediately or allow the flavors to meld for 3 to 4 hours in the refrigerator.""]",13,4,gorgonzola and prosciutto tortellini salad
Grammy's Calamari Salad,Christmas,Christmas Salads,"[""2 lemons, juiced"", ""6 cloves garlic, peeled and minced"", ""1 sprig fresh parsley, chopped"", ""salt and pepper to taste"", ""3 pounds squid, cleaned and sliced into rounds"", ""4 stalks celery, chopped"", ""1 (2.25 ounce) can pitted black olives""]","[""Mix together lemon juice, garlic, and parsley in a medium bowl. Season with salt and pepper; set aside."", ""Bring a medium pot of water to a boil. Stir in squid and cook until tender, about 3 minutes. Drain."", ""Add boiled squid, celery, and olives to lemon juice mixture; stir to evenly combine. Cover and chill in the refrigerator until serving.""]",7,3,grammy s calamari salad
Grandma Oma's Creamy German Potato Salad,Picnic Recipes,Potato Salad,"[""5 pounds Yukon gold potatoes"", ""5 ounces yellow onions, diced"", ""7 large eggs"", ""4 German Wiener or Vienna sausages"", ""7 ounces pickles"", ""2 cups vegetable broth"", ""1 cup pickle juice"", ""3 tablespoons white wine vinegar"", ""1 teaspoon Dijon mustard"", ""1/2 teaspoon white sugar"", ""salt and freshly ground black pepper"", ""1 cup mayonnaise"", ""1 tablespoon chopped parsley"", ""pickles""]","[""Gather all ingredients."", ""Add potatoes with skin on to a large pot; fill with enough water to cover potatoes completely. Bring to a boil, reduce heat to medium, and cook until potatoes are easily pierced with a fork, 20 to 30 minutes. Drain potatoes, but do not rinse. Peel potatoes when cool enough to handle, leaving them whole. Cover and refrigerate until ready to prepare the salad, ideally overnight."", ""Heat a pot of water until boiling. Carefully drop in the cold eggs using a spoon and boil for 7 minutes and 22 seconds. Drain; pour cold water over eggs to stop the boiling process. Peel immediately under cold, running water, shells should come off easily. Let eggs cool; dice 5 eggs for salad, and cut 2 eggs into wedges for garnish; set aside."", ""Meanwhile, slice potatoes 1/4-inch thick, and combine with diced onion in a large bowl."", ""Combine diced pickles and Wiener sausages in a separate bowl."", ""Stir broth, pickle juice, vinegar, and mustard together in a saucepan and bring to a boil. Add salt, pepper, and sugar to taste. Let cool slightly, then pour over potato-onion mixture and let marinate for 10 minutes. Fold in mayonnaise. Stir in diced egg and pickle mixture."", ""Serve immediately or refrigerate until ready to serve. Garnish with egg wedges, pickle slices, and parsley before serving.""]",14,7,grandma oma s creamy german potato salad
Grandma's Carrot Salad,Healthy Recipes,Healthy Salads,"[""1 pound shredded carrots"", ""1 \u00bc cups raisins"", ""2 tablespoons mayonnaise, or more to taste"", ""1 teaspoon lemon juice"", ""\u00bc teaspoon salt""]","[""Gather the ingredients."", ""Mix shredded carrots and raisins together in a large salad bowl."", ""Whisk mayonnaise, lemon juice, and salt in a small bowl until smooth."", ""Pour over carrot mixture; stir until carrots and raisins are completely coated. Refrigerate until chilled, at least 30 minutes.""]",5,4,grandma s carrot salad
Grandma's Creamy Potato Salad,Picnic Recipes,Potato Salad,"[""1 \u00bd pounds red potatoes, peeled"", ""1 \u00bd cups mayonnaise"", ""1 cup chopped celery"", ""\u00bd cup chopped onion"", ""1 tablespoon white vinegar"", ""1 tablespoon prepared yellow mustard"", ""1 teaspoon salt"", ""\u00bc teaspoon ground black pepper"", ""4 hard-cooked eggs, chopped"", ""1 teaspoon paprika, or to taste (Optional)""]","[""Place potatoes into a large pot and cover with salted water; bring to a boil. Reduce heat to medium-low and simmer until tender, about 20 minutes. Drain and let cool enough to handle, 10 to 15 minutes. Cut into cubes."", ""Mix mayonnaise, celery, onion, vinegar, mustard, salt, and pepper together in a large bowl. Add potatoes and mix to combine. Stir in eggs and sprinkle with paprika.""]",10,2,grandma s creamy potato salad
Grandma's Easy Turkey Taco Salad,Mexican,Mexican Salads,"[""1 pound ground turkey"", ""1 (1.25 ounce) package taco seasoning mix"", ""1 (15 ounce) can black beans, rinsed and drained"", ""1 head iceberg lettuce, shredded"", ""2 tomatoes, diced"", ""1 (10 ounce) bag tortilla chips, coarsely crumbled"", ""1 (8 fluid ounce) bottle thousand island dressing""]","[""Heat a large skillet over medium-high heat, and stir in the ground turkey. Cook and stir until the turkey is crumbly, evenly browned, and no longer pink. Mix in taco seasoning mix as directed on package. Remove from heat."", ""Combine the turkey, black beans, lettuce, tomatoes, and tortilla chips in a large bowl. Toss with salad dressing. Serve immediately, or refrigerate for an hour before serving.""]",7,2,grandma s turkey taco salad
Grandma's Macaroni Shrimp Salad,Pasta Salads,Macaroni Salad,"[""1 \u00bd cups elbow macaroni"", ""\u00be cup mayonnaise (such as Best Foods\u00ae)"", ""1 large cucumber, diced"", ""\u00bd cup frozen peas"", ""2 ribs celery, diced, or more to taste"", ""4 radishes, sliced, or more to taste"", ""3 green onions, chopped, or more to taste"", ""1 teaspoon seasoned salt (such as Season-All\u00ae), or to taste"", ""1 pound cooked medium shrimp"", ""3 hard-boiled eggs, sliced, or more to taste"", ""1 small avocado, sliced"", ""1 medium tomato, sliced""]","[""Bring a large pot of lightly salted water to a boil. Cook elbow macaroni in the boiling water, stirring occasionally, until tender yet firm to the bite, about 8 minutes. Drain and pour into a salad bowl."", ""Add mayonnaise, cucumber, peas, celery, radishes, green onions, and seasoned salt to the macaroni; toss well. Add shrimp last. Garnish with hard-boiled eggs, avocado, and tomato.""]",12,2,grandma s macaroni shrimp salad
Grandma's Pepper Slaw,Low Fat,Low-Fat Salads,"[""1 medium head green cabbage, shredded"", ""2 green bell peppers, diced"", ""salt to taste"", ""1 \u00bd cups white sugar"", ""1 cup vinegar"", ""2 tablespoons celery seeds""]","[""Toss cabbage and bell pepper together in a large bowl; season liberally with salt. Stir; allow to sit 45 minutes. Drain; return to the bowl."", ""Bring sugar and vinegar to a boil in a saucepan; immediately remove from heat. Stir into cabbage mixture; stir in celery seeds. Chill completely before serving.""]",6,2,grandma s pepper slaw
Greek Chicken and Potato Bowl,Green Salads,Mixed Greens Salad,"[""2 pounds boneless, skinless chicken thighs"", ""2 teaspoons kosher salt"", ""2 teaspoons freshly ground black pepper"", ""1 teaspoon dried rosemary"", ""1 teaspoon dried thyme"", ""2 teaspoons dried oregano"", ""\u00bc teaspoon red pepper flakes"", ""1 pinch cayenne pepper"", ""4 cloves garlic, minced"", ""1 large lemon, juiced"", ""\u00bc cup olive oil"", ""2 medium russet potatoes, peeled and cut into 1-inch cubes"", ""1 pinch kosher salt"", ""1 splash olive oil""]","[""Combine chicken thighs, 2 teaspoons kosher salt, pepper, rosemary, thyme, oregano, red pepper flakes, cayenne, garlic, lemon juice, and 1/4 cup olive oil in a large mixing bowl. Toss very thoroughly to combine, making sure the chicken thighs are completely and evenly coated with the marinade."", ""Wrap in plastic and marinate in the refrigerator for 6 to 12 hours."", ""Preheat the oven to 475 degrees F (245 degrees C). Line a baking sheet with foil and grease generously with olive oil."", ""Meanwhile, halve potatoes lengthwise; slice each half into 3 equal pieces. Dice into cubes and set aside."", ""Transfer chicken thighs to the prepared sheet pan smooth-side up, spacing evenly. Reserve any excess marinade in the bowl."", ""Add the potatoes to the bowl the chicken was in, along with a splash of olive oil and a large pinch of salt. Toss well to coat evenly. Scatter potatoes onto the chicken and distribute as evenly as possible in between the chicken thighs to fill any empty spaces."", ""Roast in the center of the preheated oven until the chicken is cooked through, about 35 minutes. Remove chicken to a plate or dish and cover. Chicken can be cut into bite-sized pieces if desired."", ""While chicken and potatoes are cooking, whisk red wine vinegar, olive oil, lemon juice, salt, and pepper together for dressing. Taste and adjust vinegar or oil as needed. Whisk in parsley and oregano."", ""Toss the potatoes in the chicken fat and pan drippings, and return to the oven until well browned and crusty, 10 to 15 minutes. Let potatoes rest for a few minutes before removing them with a spatula."", ""To make bowls, toss together cucumbers, tomatoes, red onions, feta cheese, chicken, potatoes, and dressing until evenly combined. Serve on top of a bowl of greens.""]",14,10,greek chicken and potato bowl
Greek Couscous Salad,Pasta Salads,Pasta Salads,"[""\u00bd cup water"", ""\u00bc cup chicken broth"", ""1 teaspoon minced garlic"", ""\u00bd cup pearl (Israeli) couscous"", ""1 cup canned chickpeas (garbanzo beans), rinsed and drained"", ""\u00bc cup chopped sun-dried tomatoes"", ""\u00bc cup sliced Kalamata olives"", ""2 tablespoons crumbled feta cheese"", ""1 tablespoon white wine vinegar"", ""1 \u00bd teaspoons lemon juice"", ""1 teaspoon dried oregano"", ""\u00bd teaspoon ground black pepper""]","[""Pour water and chicken broth into a saucepan; stir in the garlic and bring to a boil. Stir in pearl couscous, cover the pan, and remove from heat. Allow couscous to stand until water has been absorbed, about 5 minutes; fluff with a fork. Allow couscous to cool to warm temperature."", ""Lightly toss couscous, chickpeas, sun-dried tomatoes, olives, and feta cheese in a large serving bowl."", ""To make the dressing: Mix white wine vinegar, lemon juice, oregano, and black pepper in a small bowl until well combined. Pour over couscous mixture; toss again to serve.""]",12,3,greek couscous salad
Greek Flank Steak and Veggie Salad,Dinner,Main Dish Salads,"[""2 pounds flank steak"", ""6 tablespoons extra-virgin olive oil"", ""\u00bc cup fresh lemon juice"", ""2 tablespoons Worcestershire sauce"", ""4 cloves garlic, minced"", ""2 teaspoons ground oregano"", ""1 teaspoon kosher salt"", ""\u00bc teaspoon black pepper"", ""1 (15 ounce) can chickpeas, drained and rinsed"", ""1 \u00bd cups cherry tomatoes, halved"", ""1 English cucumber, chopped"", ""1 red onion, chopped"", ""8 cups chopped romaine lettuce"", ""1 cup crumbled feta cheese"", ""\u00bc cup chopped fresh parsley""]","[""Put steak in a large resealable plastic bag. Whisk olive oil, lemon juice, Worcestershire sauce, garlic, oregano, salt, and pepper in a small bowl. Reserve 1/2 cup marinade for vegetables; pour remainder over steak and turn to coat. Seal bag. Chill at least 2 hours or up to 12 hours."", ""Preheat oven to 450 degrees F (230 degrees C). Place 1 rack in center position and another 4 inches from broiler. Line a baking sheet with aluminum foil and spray with cooking spray."", ""Toss chickpeas, tomatoes, cucumber, and onion with reserved 1/2 cup marinade on the prepared baking sheet and spread in an even layer."", ""Roast on center rack until vegetables begin to pucker and brown, 15 to 20 minutes."", ""Remove baking sheet from oven and turn oven to broil. Push vegetables to the middle of the pan. Remove steak from marinade, allowing excess liquid to drip off, brush off garlic, and set on top of vegetables. Discard marinade."", ""Broil steak on top rack, flipping once, until it begins to char and an instant-read thermometer inserted into thickest part registers 125 degrees F (52 degrees C) for rare or 135 degrees F (57 degrees C) for medium-rare, 3 to 5 minutes per side."", ""Cover loosely with foil and let rest 10 minutes before slicing steak thinly across the grain. Serve warm steak and vegetables with pan juices over romaine, sprinkled with feta cheese and parsley.""]",15,7,greek flank steak and veggie salad
Greek Garbanzo Bean Salad,July 4Th,4Th Of July Salads,"[""2 (15 ounce) cans garbanzo beans, drained"", ""2 cucumbers, halved lengthwise and sliced"", ""1 (15 ounce) can black olives, drained and chopped"", ""12 cherry tomatoes, halved"", ""\u00bd red onion, chopped"", ""\u00bd cup Italian-style salad dressing"", ""2 cloves garlic, minced"", ""\u00bd lemon, juiced"", ""1 ounce crumbled feta cheese"", ""\u00bd teaspoon garlic salt"", ""\u00bd teaspoon ground black pepper""]","[""Gather the ingredients."", ""Combine beans, cucumbers, olives, tomatoes, red onion, salad dressing, garlic, lemon juice, feta cheese, garlic salt, and pepper in a large serving bowl."", ""Toss together until well combined. Refrigerate for 2 hours before serving. Serve chilled.""]",11,3,greek garbanzo bean salad
Greek Orzo Salad,Pasta Salads,Pasta Salads,"[""1 \u00bd cups uncooked orzo pasta"", ""2 (6 ounce) cans marinated artichoke hearts"", ""1 cucumber, seeded and chopped"", ""1 ripe tomato, seeded and chopped"", ""1 red onion, chopped"", ""1 cup crumbled feta cheese"", ""1 (2 ounce) can black olives, drained"", ""\u00bc cup chopped fresh parsley"", ""1 tablespoon lemon juice"", ""\u00bd teaspoon dried oregano"", ""\u00bd teaspoon lemon pepper""]","[""Bring a large pot of lightly salted water to a boil. Add pasta and cook until al dente, 8 to 10 minutes; drain."", ""Drain artichoke hearts, reserving liquid."", ""Gather prepared ingredients together."", ""Combine pasta, artichoke hearts, cucumber, tomato, onion, feta, olives, parsley, lemon juice, oregano, and lemon pepper in a large bowl; toss well. Chill in the refrigerator for 1 hour."", ""Just before serving, drizzle reserved artichoke marinade over salad."", ""Enjoy!""]",11,6,greek orzo salad
Greek Pasta Salad,Pasta Salads,Pasta Salads,"[""2 cups penne pasta"", ""\u2154 cup extra-virgin olive oil"", ""\u00bc cup red wine vinegar"", ""2 cloves garlic, crushed"", ""1 tablespoon lemon juice"", ""2 teaspoons dried oregano"", ""salt and pepper to taste"", ""10 cherry tomatoes, halved"", ""1 green bell pepper, chopped"", ""1 red bell pepper, chopped"", ""1 small red onion, chopped"", ""\u00bd cucumber, sliced"", ""\u00bd cup sliced black olives"", ""\u00bd cup crumbled feta cheese""]","[""Gather the ingredients."", ""Fill a large pot with lightly salted water and bring to a rolling boil. Stir in penne and return to a boil. Cook pasta uncovered, stirring occasionally, until tender yet firm to the bite, about 10 minutes; rinse with cold water and drain well."", ""Whisk olive oil, vinegar, garlic, lemon juice, oregano, salt, and pepper together in a bowl; set aside."", ""Combine pasta, tomatoes, green and red peppers, onion, cucumber, olives, and feta cheese in a large bowl. Pour vinaigrette over pasta mixture and mix well."", ""For best flavor, cover salad and chill in the refrigerator before serving to allow flavors to blend. Enjoy!""]",14,5,greek pasta salad
"Greek Pasta Salad with Shrimp, Tomatoes, Zucchini, Peppers, and Feta",Pasta Salads,Seafood Pasta Salad,"[""\u00bc cup rice wine vinegar"", ""2 tablespoons Dijon mustard"", ""1 large clove garlic, minced"", ""big pinch of salt"", ""ground black pepper, to taste"", ""\u2154 cup extra-virgin olive oil""]","[""Whisk rice wine vinegar, Dijon mustard, garlic, pinch of salt, and black pepper together in a bowl; slowly whisk in 2/3 cup extra-virgin olive oil, whisking constantly. Transfer vinaigrette to a jar with a tight-fitting lid."", ""Set an oven rack to highest position preheat the oven's broiler on high."", ""Toss zucchini and bell pepper with 2 tablespoons olive oil; season with salt and black pepper. Arrange on a large baking sheet with sides"", ""Broil in the preheated oven until spotty brown, 8 to 10 minutes, flipping zucchini slices and pepper halves once. Transfer to a large bowl to cool, then cut into bite-sized pieces."", ""Fill a large pot with 1 gallon water and 2 tablespoons salt; bring to a boil. Add shells and cook, stirring occasionally, until tender yet firm to the bite, about 9 minutes. Drain thoroughly (do not rinse); transfer to the baking sheet. Set aside to cool."", ""Transfer zucchini, bell pepper, pasta shells, shrimp, tomatoes, feta cheese, olives, onion, and oregano to a bowl or gallon-sized resealable plastic bag (it can be refrigerated for several hours). When ready to serve, add vinaigrette; toss to coat.""]",6,6,greek pasta salad with shrimp tomatoes zucchini peppers and feta
Greek Potato Salad,Allrecipes Allstar Recipes,Allrecipes Allstars Salad,"[""24 ounces potatoes"", ""1 stalk celery, diagonally sliced"", ""1/2 cup alamata olives"", ""1/2 cup red onions"", ""1/3 cup roughly chopped fresh dill"", ""1 (2 ounce) jar diced pimento, drained"", ""1/2 cup olive oil"", ""3 tablespoons freshly-squeezed lemon juice"", ""1 teaspoon dried oregano"", ""1/2 teaspoon salt"", ""freshly ground black pepper to taste"", ""1/2 cup roughly crumbled feta cheese, or to taste""]","[""Place potatoes in a large pot, and cover with salted water by about an inch. Bring water to a boil, and simmer just until fork tender, 15 to 20 minutes, depending on potato size."", ""Drain potatoes, cool just slightly, cut in half, and transfer to a large bowl. Add celery, olives, red onions, dill, and pimento, and stir until incorporated."", ""Whisk olive oil, lemon juice, oregano, salt, and pepper together in a small bowl, and drizzle over the warm potato salad. Sprinkle feta on top, and gently toss. Serve warm, at room temperature, or chilled.""]",12,3,greek potato salad
Greek Rice Salad,Dinner,Main Dish Salads,"[""1 cup uncooked long grain brown rice"", ""2 \u00bd cups water"", ""1 avocado - peeled, pitted, and diced"", ""\u00bc cup lemon juice"", ""2 vine-ripened tomatoes, diced"", ""1 \u00bd cups diced English cucumbers"", ""\u00bd cup crumbled feta cheese"", ""\u2153 cup diced red onion"", ""\u00bc cup sliced Kalamata olives"", ""\u00bc cup chopped fresh mint"", ""3 tablespoons olive oil"", ""1 teaspoon lemon zest"", ""\u00bd teaspoon minced garlic"", ""\u00bd teaspoon kosher salt"", ""\u00bd teaspoon ground black pepper""]","[""Bring brown rice and water to a boil in a saucepan over high heat. Reduce the heat to medium-low, cover, and simmer until rice is tender and liquid has been absorbed, 45 to 50 minutes. Remove from heat and allow to cool, fluffing occasionally with a fork."", ""Toss avocado and lemon juice together in a large bowl. Add tomatoes, cucumber, feta, onion, olives, mint, olive oil, lemon zest, garlic, salt, and pepper to the bowl; lightly toss the mixture until evenly combined."", ""Fold cooled rice gently into the mixture. Serve immediately or chill up to 1 hour; the salad does not last well for more than a day as the tomato and cucumber begin to release their juices and the salad becomes watery.""]",15,3,greek rice salad
Greek Salad,Kosher,Kosher Salads,"[""1 head romaine lettuce- rinsed, dried and chopped"", ""1 cucumber, sliced"", ""2 large tomatoes, chopped"", ""1 (6 ounce) can pitted black olives"", ""1 green bell pepper, chopped"", ""1 red bell pepper, chopped"", ""1 red onion, thinly sliced"", ""1 cup crumbled feta cheese"", ""6 tablespoons olive oil"", ""1 lemon, juiced"", ""1 teaspoon dried oregano"", ""ground black pepper to taste""]","[""Combine romaine, cucumber, tomatoes, olives, bell peppers, and red onion in a large bowl; sprinkle with feta cheese."", ""Whisk olive oil, lemon juice, oregano, and black pepper together in a small bowl. Pour dressing over salad, toss well to combine, and serve."", ""Pour dressing over salad, toss well to combine, and serve.""]",12,3,greek salad
Greek Salad with Couscous and Spicy Feta Cheese,Pasta Salads,Greek Pasta Salad,"[""1 tablespoon dried oregano"", ""1 teaspoon chili powder"", ""3 tablespoons extra-virgin olive oil"", ""1 (6 ounce) package feta cheese, cubed""]","[""Heat skillet over low heat. Add dried oregano and chili powder; cook and stir until fragrant and toasted, about 1 minute. Off heat, stir in 3 tablespoons olive oil. Pour seasoned oil over feta cheese in a bowl; marinate for at least 30 minutes."", ""Meanwhile, bring 1 cup water to a boil in a saucepan. Off heat, stir in couscous. Cover the saucepan; set aside until water is completely absorbed, about 10 minutes. Fluff couscous with a fork."", ""Stir cucumber, tomato, bell pepper, onion, olives, 2 tablespoons oil, and garlic into warm couscous."", ""Whisk \u00bc cup oil, balsamic vinegar, white wine vinegar, and soy sauce together in a bowl; toss into couscous salad."", ""Place marinated feta on top couscous salad.""]",4,5,greek salad with couscous and spicy feta cheese
Greek Tortellini Pasta Salad,Pasta Salads,Greek Pasta Salad,"[""1 (16 ounce) package fresh cheese tortellini"", ""1 \u00bd cups chopped grape tomatoes"", ""1 \u00bd cups chopped cucumbers"", ""1 medium green bell pepper, chopped"", ""1 medium red bell pepper, chopped"", ""\u2153 cup chopped red onion"", ""\u2153 cup Kalamata olives"", ""1 (4 ounce) package crumbled feta cheese"", ""1 cup Greek salad dressing""]","[""Bring a large pot of lightly salted water to a boil. Cook tortellini in the boiling water until tender yet firm to the bite, 6 to 7 minutes. Drain well and transfer to a large bowl."", ""Add tomatoes, cucumbers, bell peppers, red onion, Kalamata olives, and feta cheese. Add salad dressing and mix thoroughly."", ""Chill in the refrigerator for 2 hours before serving.""]",9,3,greek tortellini pasta salad
Greek Tortellini Salad,Pasta Salads,Pasta Salads,"[""18 ounces cheese tortellini"", ""ounces mini cucumbers, halved lengthwise, then sliced into half moons"", ""1/2 small red onion, slivered"", ""3/4 cup grape tomatoes, halved"", ""1/4 cup kalamata olives, halved"", ""3/4 cup olive oil"", ""1/2 cup red wine vinegar"", ""2 tablespoons ijon mustard"", ""2 teaspoons garlic"", ""2 teaspoons dried parsley"", ""2 teaspoons dried oregano"", ""1 teaspoon onion powder"", ""1 teaspoon salt"", ""1/2 teaspoon Greek seasoning"", ""1/4 cup crumbled feta cheese""]","[""Fill a large pot with lightly salted water and bring to a rolling boil; stir in tortellini and return to a boil. Cook uncovered, stirring occasionally, until the tortellini float to the top and the filling is hot, about 3 minutes. Drain tortellini; allow to cool."", ""Combine cucumber, red onion, grape tomatoes, and olives in a large bowl."", ""For the dressing, combine olive oil, red wine vinegar, Dijon mustard, garlic granules, parsley, oregano, onion powder, salt, and Greek seasoning in a glass jar with a lid. Tighten and shake well until dressing is well combined."", ""Add tortellini to the vegetables. Pour the dressing over and thoroughly fold dressing into salad using a slotted spoon to thoroughly coat tortellini and vegetables. Sprinkle salad with feta cheese. Refrigerate, covered, until ready to serve."", ""Add tortellini to vegetables. Pour dressing over. Use a slotted spoon to fold dressing into salad to thoroughly coat tortellini and vegetables. Sprinkle salad with feta cheese. Refrigerate until ready to serve.""]",15,5,greek tortellini salad
Greek Yogurt Chicken Salad,Chicken Salads,Chicken Salads,"[""1 cup plain Greek yogurt"", ""1 tablespoon Dijon mustard"", ""1 tablespoon lemon juice"", ""2 teaspoons honey"", ""2 teaspoons chopped fresh parsley"", ""1 teaspoon chopped fresh dill"", ""\u00bd teaspoon salt"", ""\u00bd teaspoon freshly ground black pepper"", ""\u00bd teaspoon onion powder"", ""2 cups cooked, shredded chicken"", ""\u00bd cup celery, diced""]","[""Combine Greek yogurt, mustard, lemon juice, honey, parsley, dill, salt, pepper, and onion powder in a small bowl. Mix until dressing is smooth and creamy."", ""Combine chicken and celery in a large bowl. Top with dressing and mix to combine. Chill in the refrigerator for 1 hour before serving.""]",11,2,greek yogurt chicken salad
